year,indicator,name,category,group,value
2018,suitable_employment,5ct,Wealthy,Wealthy,0.6588235294117648
2018,suitable_employment,5ct,Suburban,Suburban,0.6022727272727273
2018,suitable_employment,5ct,Rural,Rural,0.4725274725274725
2018,suitable_employment,5ct,Urban Periphery,Urban Periphery,0.5
2018,suitable_employment,5ct,Urban Core,Urban Core,0.3295454545454546
2018,suitable_employment,ansonia,Total,Total,0.3820224719101123
2018,suitable_employment,ansonia,Gender,Male,0.41935483870967744
2018,suitable_employment,ansonia,Gender,Female,0.3411764705882353
2018,suitable_employment,ansonia,Age,Under age 55,0.3666666666666667
2018,suitable_employment,ansonia,Age,Age 55 or older,0.42528735632183906
2018,suitable_employment,ansonia,Education,Some college or less,0.34831460674157305
2018,suitable_employment,ansonia,Education,Bachelor's or higher,0.43333333333333335
2018,suitable_employment,ansonia,Income,<$75K,0.2808988764044944
2018,suitable_employment,ansonia,Income,$75K+,0.4175824175824176
2018,suitable_employment,bridgeport,Total,Total,0.2790697674418605
2018,suitable_employment,bridgeport,Gender,Male,0.30337078651685395
2018,suitable_employment,bridgeport,Gender,Female,0.25
2018,suitable_employment,bridgeport,Age,Ages 18-34,0.3409090909090909
2018,suitable_employment,bridgeport,Age,Ages 35-49,0.22471910112359547
2018,suitable_employment,bridgeport,Age,Ages 50-64,0.16853932584269662
2018,suitable_employment,bridgeport,Age,Ages 65+,0.2987012987012987
2018,suitable_employment,bridgeport,Education,Bachelor's or higher,0.2777777777777778
2018,suitable_employment,bridgeport,Education,High school or less,0.28915662650602414
2018,suitable_employment,bridgeport,Education,Some college or Associate's,0.26436781609195403
2018,suitable_employment,bridgeport,Income,$75K+,0.2688172043010753
2018,suitable_employment,bridgeport,Income,<$30K,0.2705882352941177
2018,suitable_employment,bridgeport,Income,$30K-$75K,0.29545454545454547
2018,suitable_employment,bridgeport,Race/Ethnicity,White,0.3132530120481928
2018,suitable_employment,bridgeport,Race/Ethnicity,Black,0.2272727272727273
2018,suitable_employment,bridgeport,Race/Ethnicity,Latino,0.3296703296703297
2018,suitable_employment,bridgeport,With children,No children,0.2470588235294118
2018,suitable_employment,bridgeport,With children,Children in household,0.31460674157303375
2018,suitable_employment,bristol,Total,Total,0.43956043956043955
2018,suitable_employment,bristol,Gender,Male,0.4787234042553192
2018,suitable_employment,bristol,Gender,Female,0.42045454545454547
2018,suitable_employment,bristol,Age,Under age 55,0.4111111111111111
2018,suitable_employment,bristol,Age,Age 55 or older,0.5053763440860216
2018,suitable_employment,bristol,Education,Some college or less,0.47826086956521735
2018,suitable_employment,bristol,Education,Bachelor's or higher,0.37078651685393255
2018,suitable_employment,bristol,Income,<$75K,0.40625000000000006
2018,suitable_employment,bristol,Income,$75K+,0.5057471264367817
2018,suitable_employment,bristol,With children,No children,0.44565217391304346
2018,suitable_employment,bristol,With children,Children in household,0.4318181818181818
2018,suitable_employment,cchd_central_ct_health_district,Total,Total,0.5882352941176471
2018,suitable_employment,cchd_central_ct_health_district,Gender,Male,0.49411764705882355
2018,suitable_employment,cchd_central_ct_health_district,Gender,Female,0.6705882352941176
2018,suitable_employment,cchd_central_ct_health_district,Age,Under age 55,0.5730337078651685
2018,suitable_employment,cchd_central_ct_health_district,Age,Age 55 or older,0.620253164556962
2018,suitable_employment,cchd_central_ct_health_district,Education,Some college or less,0.5476190476190476
