year,indicator,name,category,group,value
2018,just_getting_by,5ct,Wealthy,Wealthy,0.20202020202020204
2018,just_getting_by,5ct,Suburban,Suburban,0.26
2018,just_getting_by,5ct,Rural,Rural,0.3
2018,just_getting_by,5ct,Urban Periphery,Urban Periphery,0.3434343434343435
2018,just_getting_by,5ct,Urban Core,Urban Core,0.47000000000000003
2018,just_getting_by,ansonia,Total,Total,0.34
2018,just_getting_by,ansonia,Gender,Male,0.20202020202020202
2018,just_getting_by,ansonia,Gender,Female,0.47000000000000003
2018,just_getting_by,ansonia,Age,Under age 55,0.33999999999999997
2018,just_getting_by,ansonia,Age,Age 55 or older,0.3469387755102041
2018,just_getting_by,ansonia,Education,Some college or less,0.38383838383838387
2018,just_getting_by,ansonia,Education,Bachelor's or higher,0.29
2018,just_getting_by,ansonia,Income,<$75K,0.5151515151515151
2018,just_getting_by,ansonia,Income,$75K+,0.17
2018,just_getting_by,bridgeport,Total,Total,0.52
2018,just_getting_by,bridgeport,Gender,Male,0.5
2018,just_getting_by,bridgeport,Gender,Female,0.53
2018,just_getting_by,bridgeport,Age,Ages 18-34,0.5700000000000001
2018,just_getting_by,bridgeport,Age,Ages 35-49,0.51
2018,just_getting_by,bridgeport,Age,Ages 50-64,0.56
2018,just_getting_by,bridgeport,Age,Ages 65+,0.37
2018,just_getting_by,bridgeport,Education,Bachelor's or higher,0.38383838383838387
2018,just_getting_by,bridgeport,Education,High school or less,0.5599999999999999
2018,just_getting_by,bridgeport,Education,Some college or Associate's,0.57
2018,just_getting_by,bridgeport,Income,$75K+,0.21000000000000002
2018,just_getting_by,bridgeport,Income,<$30K,0.6799999999999999
2018,just_getting_by,bridgeport,Income,$30K-$75K,0.51
2018,just_getting_by,bridgeport,Race/Ethnicity,White,0.4646464646464647
2018,just_getting_by,bridgeport,Race/Ethnicity,Black,0.55
2018,just_getting_by,bridgeport,Race/Ethnicity,Latino,0.5151515151515151
2018,just_getting_by,bridgeport,With children,No children,0.48
2018,just_getting_by,bridgeport,With children,Children in household,0.5800000000000001
2018,just_getting_by,bristol,Total,Total,0.3571428571428572
2018,just_getting_by,bristol,Gender,Male,0.27272727272727276
2018,just_getting_by,bristol,Gender,Female,0.45454545454545464
2018,just_getting_by,bristol,Age,Under age 55,0.38383838383838387
2018,just_getting_by,bristol,Age,Age 55 or older,0.32323232323232326
2018,just_getting_by,bristol,Education,Some college or less,0.35353535353535354
2018,just_getting_by,bristol,Education,Bachelor's or higher,0.39
2018,just_getting_by,bristol,Income,<$75K,0.51
2018,just_getting_by,bristol,Income,$75K+,0.16999999999999998
2018,just_getting_by,bristol,With children,No children,0.326530612244898
2018,just_getting_by,bristol,With children,Children in household,0.45999999999999996
2018,just_getting_by,cchd_central_ct_health_district,Total,Total,0.29292929292929293
2018,just_getting_by,cchd_central_ct_health_district,Gender,Male,0.25252525252525254
2018,just_getting_by,cchd_central_ct_health_district,Gender,Female,0.34
2018,just_getting_by,cchd_central_ct_health_district,Age,Under age 55,0.33333333333333337
2018,just_getting_by,cchd_central_ct_health_district,Age,Age 55 or older,0.25
2018,just_getting_by,cchd_central_ct_health_district,Education,Some college or less,0.31313131313131315
2018,just_getting_by,cchd_central_ct_health_district,Education,Bachelor's or higher,0.29000000000000004
2018,just_getting_by,cchd_central_ct_health_district,Income,<$75K,0.44000000000000006
2018,just_getting_by,cchd_central_ct_health_district,Income,$75K+,0.22
2018,just_getting_by,cchd_central_ct_health_district,With children,No children,0.26
2018,just_getting_by,cchd_central_ct_health_district,With children,Children in household,0.38383838383838387
2018,just_getting_by,chesprocott,Total,Total,0.26262626262626265
2018,just_getting_by,chesprocott,Gender,Male,0.23469387755102042
2018,just_getting_by,chesprocott,Gender,Female,0.30303030303030304
2018,just_getting_by,chesprocott,Age,Under age 55,0.31313131313131315
2018,just_getting_by,chesprocott,Age,Age 55 or older,0.18
2018,just_getting_by,chesprocott,Education,Some college or less,0.2755102040816327
2018,just_getting_by,chesprocott,Education,Bachelor's or higher,0.24
2018,just_getting_by,chesprocott,Income,<$75K,0.36363636363636365
2018,just_getting_by,chesprocott,Income,$75K+,0.22
2018,just_getting_by,chesprocott,With children,No children,0.24742268041237114
2018,just_getting_by,chesprocott,With children,Children in household,0.31
2018,just_getting_by,connecticut,Total,Total,0.33333333333333337
2018,just_getting_by,connecticut,Gender,Male,0.2828282828282829
2018,just_getting_by,connecticut,Gender,Female,0.36
2018,just_getting_by,connecticut,Age,Ages 18-34,0.42000000000000004
2018,just_getting_by,connecticut,Age,Ages 35-49,0.39
2018,just_getting_by,connecticut,Age,Ages 50-64,0.33
2018,just_getting_by,connecticut,Age,Ages 65+,0.2
2018,just_getting_by,connecticut,Education,Bachelor's or higher,0.24
2018,just_getting_by,connecticut,Education,High school or less,0.43000000000000005
2018,just_getting_by,connecticut,Education,Some college or Associate's,0.4
2018,just_getting_by,connecticut,Income,<$15K,0.66
2018,just_getting_by,connecticut,Income,$15K-$30K,0.5900000000000001
2018,just_getting_by,connecticut,Income,$30K-$50K,0.47
2018,just_getting_by,connecticut,Income,$50K-$75K,0.38
2018,just_getting_by,connecticut,Income,$75K-$100K,0.25
2018,just_getting_by,connecticut,Income,$100K-$200K,0.15
2018,just_getting_by,connecticut,Income,$200K+,0.05
2018,just_getting_by,connecticut,Race/Ethnicity,White,0.3
2018,just_getting_by,connecticut,Race/Ethnicity,Black,0.47
2018,just_getting_by,connecticut,Race/Ethnicity,Latino,0.43
2018,just_getting_by,connecticut,With children,No children,0.30303030303030304
2018,just_getting_by,connecticut,With children,Children in household,0.38
2018,just_getting_by,danbury,Total,Total,0.31313131313131315
2018,just_getting_by,danbury,Gender,Male,0.23469387755102042
2018,just_getting_by,danbury,Gender,Female,0.4
2018,just_getting_by,danbury,Age,Ages 18-34,0.37
2018,just_getting_by,danbury,Age,Ages 35-49,0.4081632653061224
2018,just_getting_by,danbury,Age,Ages 50-64,0.32
2018,just_getting_by,danbury,Age,Ages 65+,0.12121212121212122
2018,just_getting_by,danbury,Education,Bachelor's or higher,0.23232323232323232
2018,just_getting_by,danbury,Education,High school or less,0.41000000000000003
2018,just_getting_by,danbury,Education,Some college or Associate's,0.38383838383838387
2018,just_getting_by,danbury,Income,$75K+,0.25
2018,just_getting_by,danbury,Income,<$30K,0.61
2018,just_getting_by,danbury,Income,$30K-$75K,0.39
2018,just_getting_by,danbury,Race/Ethnicity,White,0.2828282828282829
2018,just_getting_by,danbury,Race/Ethnicity,Not white,0.39
2018,just_getting_by,danbury,With children,No children,0.2828282828282829
2018,just_getting_by,danbury,With children,Children in household,0.37373737373737376
