indicator,year,proper_name,name,category,group,response,value
self_rated_health,2018,5ct,5ct,Wealthy,Wealthy,excellent_or_v_good,0.76
self_rated_health,2018,5ct,5ct,Suburban,Suburban,excellent_or_v_good,0.65
self_rated_health,2018,5ct,5ct,Rural,Rural,excellent_or_v_good,0.59
self_rated_health,2018,5ct,5ct,Urban Periphery,Urban Periphery,excellent_or_v_good,0.57
self_rated_health,2018,5ct,5ct,Urban Core,Urban Core,excellent_or_v_good,0.5
self_rated_health,2018,Ansonia,ansonia,Total,Ansonia,excellent_or_v_good,0.53
self_rated_health,2018,Bridgeport,bridgeport,Total,Bridgeport,excellent_or_v_good,0.44
self_rated_health,2018,Bristol,bristol,Total,Bristol,excellent_or_v_good,0.6
self_rated_health,2018,Cchd Central Ct Health District,cchd_central_ct_health_district,Total,Cchd Central Ct Health District,excellent_or_v_good,0.63
self_rated_health,2018,Chesprocott,chesprocott,Total,Chesprocott,excellent_or_v_good,0.66
self_rated_health,2018,Connecticut,connecticut,Total,Connecticut,excellent_or_v_good,0.59
self_rated_health,2018,Connecticut,connecticut,Gender,Male,excellent_or_v_good,0.61
self_rated_health,2018,Connecticut,connecticut,Gender,Female,excellent_or_v_good,0.57
self_rated_health,2018,Connecticut,connecticut,Age,Ages 18-34,excellent_or_v_good,0.62
self_rated_health,2018,Connecticut,connecticut,Age,Ages 35-49,excellent_or_v_good,0.6
self_rated_health,2018,Connecticut,connecticut,Age,Ages 50-64,excellent_or_v_good,0.59
self_rated_health,2018,Connecticut,connecticut,Age,Ages 65+,excellent_or_v_good,0.53
self_rated_health,2018,Connecticut,connecticut,Race/Ethnicity,White,excellent_or_v_good,0.6
self_rated_health,2018,Connecticut,connecticut,Race/Ethnicity,Black,excellent_or_v_good,0.52
self_rated_health,2018,Connecticut,connecticut,Race/Ethnicity,Latino,excellent_or_v_good,0.57
self_rated_health,2018,Connecticut,connecticut,Education,High school or less,excellent_or_v_good,0.48
self_rated_health,2018,Connecticut,connecticut,Education,Some college or Associate's,excellent_or_v_good,0.54
self_rated_health,2018,Connecticut,connecticut,Education,Bachelor's or higher,excellent_or_v_good,0.68
self_rated_health,2018,Connecticut,connecticut,Income,Under $30K,excellent_or_v_good,0.4
self_rated_health,2018,Connecticut,connecticut,Income,$30K-$100K,excellent_or_v_good,0.58
self_rated_health,2018,Connecticut,connecticut,Income,$100K+,excellent_or_v_good,0.74
self_rated_health,2018,Connecticut,connecticut,With children,No children,excellent_or_v_good,0.57
self_rated_health,2018,Connecticut,connecticut,With children,Children in household,excellent_or_v_good,0.64
self_rated_health,2018,Danbury,danbury,Total,Danbury,excellent_or_v_good,0.65
self_rated_health,2018,Darien,darien,Total,Darien,excellent_or_v_good,0.76
self_rated_health,2018,Derby,derby,Total,Derby,excellent_or_v_good,0.56
self_rated_health,2018,East Hartford,east_hartford,Total,East Hartford,excellent_or_v_good,0.56
self_rated_health,2018,East Haven,east_haven,Total,East Haven,excellent_or_v_good,0.54
