indicator,level,name,year,group,estimate,moe,share,sharemoe
total_pop,1_state,Connecticut,2018,total_pop,3581504,0,NA,NA
total_pop,2_counties,Fairfield County,2018,total_pop,944348,0,NA,NA
total_pop,2_counties,Hartford County,2018,total_pop,894730,0,NA,NA
total_pop,2_counties,Litchfield County,2018,total_pop,183031,0,NA,NA
total_pop,2_counties,Middlesex County,2018,total_pop,163368,0,NA,NA
total_pop,2_counties,New Haven County,2018,total_pop,859339,0,NA,NA
total_pop,2_counties,New London County,2018,total_pop,268881,0,NA,NA
total_pop,2_counties,Tolland County,2018,total_pop,151269,0,NA,NA
total_pop,2_counties,Windham County,2018,total_pop,116538,0,NA,NA
total_pop,3_regions,Greater New Haven,2018,total_pop,464425,190,NA,NA
total_pop,3_regions,Greater Waterbury,2018,total_pop,334123,322,NA,NA
total_pop,3_regions,Greater Bridgeport,2018,total_pop,323647,101,NA,NA
total_pop,3_regions,Lower Naugatuck Valley,2018,total_pop,139751,93,NA,NA
total_pop,4_towns,Bethel,2018,total_pop,19551,32,NA,NA
total_pop,4_towns,Bridgeport,2018,total_pop,146417,64,NA,NA
total_pop,4_towns,Brookfield,2018,total_pop,17013,42,NA,NA
total_pop,4_towns,Danbury,2018,total_pop,84479,39,NA,NA
total_pop,4_towns,Darien,2018,total_pop,21759,45,NA,NA
total_pop,4_towns,Easton,2018,total_pop,7558,31,NA,NA
total_pop,4_towns,Fairfield,2018,total_pop,61598,37,NA,NA
total_pop,4_towns,Greenwich,2018,total_pop,62574,41,NA,NA
total_pop,4_towns,Monroe,2018,total_pop,19621,33,NA,NA
total_pop,4_towns,New Canaan,2018,total_pop,20273,22,NA,NA
total_pop,4_towns,New Fairfield,2018,total_pop,13992,35,NA,NA
total_pop,4_towns,Newtown,2018,total_pop,27853,26,NA,NA
total_pop,4_towns,Norwalk,2018,total_pop,88436,62,NA,NA
total_pop,4_towns,Redding,2018,total_pop,9209,20,NA,NA
total_pop,4_towns,Ridgefield,2018,total_pop,25070,32,NA,NA
total_pop,4_towns,Shelton,2018,total_pop,41155,38,NA,NA
total_pop,4_towns,Sherman,2018,total_pop,3641,21,NA,NA
total_pop,4_towns,Stamford,2018,total_pop,129026,43,NA,NA
total_pop,4_towns,Stratford,2018,total_pop,52279,42,NA,NA
total_pop,4_towns,Trumbull,2018,total_pop,36174,31,NA,NA
total_pop,4_towns,Weston,2018,total_pop,10288,44,NA,NA
total_pop,4_towns,Westport,2018,total_pop,27840,28,NA,NA
total_pop,4_towns,Wilton,2018,total_pop,18542,25,NA,NA
total_pop,4_towns,Avon,2018,total_pop,18338,27,NA,NA
total_pop,4_towns,Berlin,2018,total_pop,20519,22,NA,NA
total_pop,4_towns,Bloomfield,2018,total_pop,20952,37,NA,NA
total_pop,4_towns,Bristol,2018,total_pop,60308,42,NA,NA
