level,name,Total population,Population under age 18,Percent under age 18,Population ages 65+,Percent ages 65+,Male population,Percent male,Female population,Percent female,Latino population,Percent Latino,White population,Percent white,Black population,Percent black,Other race population,Percent other race,Foreign-born population,Percent foreign-born,Total households,Owner-occupied households,Homeownership rate,Cost-burdened households,Cost-burden rate,Households with 1+ vehicles,"Percent of households, 1+ vehicles",Adults ages 25+,Adults without high school diploma,"Percent of adults, no high school diploma",Adults with bachelor's or higher,"Percent of adults, bachelor's or higher",Median household income,Poverty status known,Population in poverty,Poverty rate,Low-income population,Low-income rate,"Under 18, poverty status known",Children in poverty,Child poverty rate,Low-income children,Child low-income rate,"Ages 65+, poverty status known",Seniors in poverty,Senior poverty rate,Low-income seniors,Senior low-income rate
1_state,Connecticut,3581504,752625,0.21,587580,0.164,1747131,0.488,1834373,0.512,561791,0.157,2418696,0.675,351817,0.098,249200,0.07,513646,0.143,1367374,907134,0.663,484571,0.363,1246133,0.911,2478708,235826,0.095,965227,0.389,76106,3474901,348449,0.1,796272,0.229,743194,100097,0.135,222157,0.299,566635,41393,0.073,124153,0.219
2_counties,Fairfield County,944348,216907,0.23,143419,0.152,459963,0.487,484385,0.513,182653,0.193,588974,0.624,99412,0.105,73309,0.078,205009,0.217,340491,229169,0.673,133355,0.4,314393,0.923,641790,64890,0.101,303918,0.474,92969,926505,81751,0.088,195066,0.211,214231,23468,0.11,55825,0.261,138765,10076,0.073,27656,0.199
2_counties,Hartford County,894730,190571,0.213,147260,0.165,434650,0.486,460080,0.514,157785,0.176,553425,0.619,114565,0.128,68955,0.077,137195,0.153,349064,225112,0.645,117582,0.345,312181,0.894,622446,65170,0.105,234993,0.378,72321,872612,97063,0.111,214398,0.246,188282,29073,0.154,61852,0.329,141965,12197,0.086,34294,0.242
2_counties,Litchfield County,183031,34394,0.188,36456,0.199,90447,0.494,92584,0.506,10941,0.06,162898,0.89,2863,0.016,6329,0.035,14451,0.079,73987,57079,0.771,23230,0.321,70045,0.947,134752,9986,0.074,47270,0.351,78314,180907,12650,0.07,32013,0.177,33732,2598,0.077,6549,0.194,35491,2126,0.06,7261,0.205
2_counties,Middlesex County,163368,30095,0.184,31052,0.19,79676,0.488,83692,0.512,9835,0.06,137696,0.843,8050,0.049,7787,0.048,12495,0.076,66892,49262,0.736,20950,0.322,63255,0.946,118792,6918,0.058,49327,0.415,84761,157983,10909,0.069,27087,0.171,29777,2483,0.083,6047,0.203,29816,1538,0.052,5563,0.187
2_counties,New Haven County,859339,176925,0.206,142411,0.166,414311,0.482,445028,0.518,151361,0.176,546120,0.636,106325,0.124,55533,0.065,104939,0.122,329857,204295,0.619,123971,0.388,291438,0.884,595852,59205,0.099,207966,0.349,67128,832858,98855,0.119,216498,0.26,174980,29726,0.17,62367,0.356,136894,10423,0.076,32310,0.236
2_counties,New London County,268881,53209,0.198,46320,0.172,134703,0.501,134178,0.499,27762,0.103,204185,0.759,14219,0.053,22715,0.084,22960,0.085,107402,71459,0.665,34810,0.332,100784,0.938,188221,15250,0.081,62745,0.333,71368,256892,26140,0.102,59703,0.232,52569,8357,0.159,17366,0.33,44723,2740,0.061,9299,0.208
2_counties,Tolland County,151269,27005,0.179,22405,0.148,75821,0.501,75448,0.499,8086,0.053,128603,0.85,4299,0.028,10281,0.068,10702,0.071,55232,39798,0.721,16178,0.298,52748,0.955,95870,5215,0.054,39454,0.412,84916,135909,9390,0.069,23757,0.175,26654,1280,0.048,4390,0.165,21659,935,0.043,3565,0.165
2_counties,Windham County,116538,23519,0.202,18257,0.157,57560,0.494,58978,0.506,13368,0.115,96795,0.831,2084,0.018,4291,0.037,5895,0.051,44449,30960,0.697,14495,0.334,41289,0.929,80985,9192,0.114,19554,0.241,64774,111235,11691,0.105,27750,0.249,22969,3112,0.135,7761,0.338,17322,1358,0.078,4205,0.243
3_regions,Greater New Haven,464425,93401,0.201,75730,0.163,223201,0.481,241224,0.519,73418,0.158,285827,0.615,70574,0.152,34606,0.075,60065,0.129,177197,106296,0.6,71133,0.412,155040,0.875,317703,27073,0.085,127740,0.402,NA,445471,53945,0.121,116203,0.261,92500,15285,0.165,31963,0.346,73422,5614,0.076,16931,0.231
